id,II-B-INCLUDED,2-b-included,Topic,Topic II,type,II-B-CONTACTED,link-text,title,description,link,REC-ommendation to be mapped to (for the II-B-INCLUDED only) - for the rest still Additional info,Additional info,
1,YY,YY,Copyright,II - COPYRIGHT related,KB-i,Y,European Commission Reuse Guidelines,European Commission Reuse Guidelines (2019 edition),"Using Creative Common licences for the distribution and reuse of Commission documents (EC Central Intelectual Property Service, 2019 edition)",https://myintracomm.ec.europa.eu/corp/intellectual-property/Documents/2019_Reuse-guidelines(CC-BY).pdf  ,REC- State the reuse licence,,
2,N,M,Copyright,,KB-x,,CC wiki page,,Considerations for licensors and licensees (on the wiki of CC),https://wiki.creativecommons.org/wiki/Considerations_for_licensors_and_licensees,CC = Creative Commons,,
3,YY,YY,Copyright,II - COPYRIGHT related,KB-x,,Reuser's Guide to Open Data Licensing,Open Data Institute Reuser's Guide to Open Data Licensing,"Free guide to open data licensing, by the ODI (Open Data Institute)",https://theodi.org/article/reusers-guide-to-open-data-licensing/,"REC- If necessary, clear the rights",,
4,,Y,Copyright,,KB-x,,Why do we need to license open data?,,eLearning module on data.europa.eu,https://data.europa.eu/elearning/en/module4/#/id/co-01,,,
5,YY,YY,Copyright,II - COPYRIGHT related,R,,Publications Office Copyright team,Publications Office Copyright team,,mailto:OP-COPYRIGHT@publications.europa.eu,,FMB - Interinstitutional,
6,YY,M,Copyright,II - COPYRIGHT related,R,Y,European Commission  Central Intellectual Property Service,European Commission  Central Intellectual Property Service,,mailto:ec-ipr@ec.europa.eu,,FMB - EC corporate,
7,YYTBC,M,Copyright,II - COPYRIGHT related,S,,Creative Commons licence chooser,Creative Commons licence chooser,Online wizard guiding you through the steps of selecting the appropriate licence for your work,https://chooser-beta.creativecommons.org/,"REC- TBC if it will remain after revisiting Copyright
",CC = Creative Commons,
8,,Y,Copyright,,S,,EURECA,,"A collaborative platform designed to help Commission staff to identify, find and manage intellectual property (IP) resources across the organisation",https://apps.jrc.cec.eu.int/eureca/screen/my-dashboard?ticket=ST-25415426-fLJpbOFQdiB47DxzHLwwvMAc1PuVZ7K3y1rvOILlRMB0t0EyjtX9eflNzHDdg2PLgntip8Ajlc9KFNvQdzHCzl4-rS0vSrmBGYCCPIEzYRVMOx-rPIkwcKegSqCF6RPpPDRQRF5eVBdsQ8DurclysBmCyE8oj7UxfDpyDa4uunNLtLyq7RJB1JNfOJwtLSvVw5gyG,More info on EURECA: https://myintracomm.ec.europa.eu/corp/intellectual-property/tools/EURECA/Pages/default.aspx,,
9,YY,YY,Data management,II - Preparing your data for publication,R-,Y,Ask the European Commission Data Advisory,Ask the European Commission Data Advisory,Contact information and what to consider before/when asking the European Commission data advisory for their services,https://webgate.ec.europa.eu/fpfis/wikis/display/DataAdvisory/Ask+the+data+advisory,"REC- Plan and get advice at the very beginning
Still to be mapped",Part of data advisory wiki space - EC corporate,
10,,M,Data management,,KB-i,,Work programme 2020-2021,,"Data, information and knowledge management at the European Commission",https://myintracomm.ec.europa.eu/sg/info-management/Documents/work-programme-2020-21.pdf,PDF,,
11,,Y,Data management,,KB-i,,Data learning package,,Learning package structured around different personas that need to understand data science. The individual parts are recommended for different personas - the user can filter the training based on their profile,https://eceuropaeu.sharepoint.com/sites/GRP-Learningpackages/datascience_LP,,,
12,,M,Data management,,KB-i,,Data collab,,Wiki collaborative space of the Data Ecosystem Coordination Group,https://webgate.ec.europa.eu/fpfis/wikis/display/DataCollab/Data+Ecosystem+Collaborative+Space,,,
13,YY,YY,Data management,II - Publishing the data and the data visualisations with your publication,R-,Y,European Commission Local Data Correspondents (LDCs),"European Commission Local Data Correspondents: role, and a list with contact details",What's their role and a list of LDCs across Directorates-General.,https://webgate.ec.europa.eu/fpfis/wikis/display/DataAdvisory/Local+data+correspondent,"REC- Publish your data in a data catalogue
","- Part of data advisory wiki space
- LDC = Local Data Correspondent",
14,,M,Data management,,KB-i,,EC Statistical Coordination,,Wiki of the EC-wide network of Local Statistical Correspondents (located at each DG) for sharing information between LSCs and ESTAT (coordinating),https://myintracomm-collab.ec.europa.eu/networks/STATCOOR/SitePages/Home.aspx,,,
15,,M,Data management,,KB-i,,Digital iLab,,Digital innovationLab - Community on the Data Ecosystem Collaborative Space,https://webgate.ec.europa.eu/fpfis/wikis/display/DataCollab/Digital+iLab,,,
16,,M,Data management,,KB-i,,Linked Data and Semantic Technologies,,Community on the EC Data Ecosystem Collaborative Space,https://webgate.ec.europa.eu/fpfis/wikis/display/DataCollab/Linked+Data,,,
17,,M,Data management,,KB-i,,Semantic web training,,Lunchtime presentations organised in the Publications Office between October 2018 and April 2019,https://webgate.ec.europa.eu/fpfis/wikis/display/EUODDVC/Training+material+-+Semantic+web,,,
18,N,YY,Data management,II - Preparing your data for publication,R,Y,European Commission Data Advisory team,European Commission Data Advisory team,,mailto:EC-DATA-ADVISORY@ec.europa.eu,"REC- ???
FMB - EC corporate. NOT TO BE USED BY ITSELF, ALWAYS IN COMBINATION WITH RESOURCE 9 (request guidelines)
Solution found to use the page Ask the Data Advisory in Contacts instead of the FMB so this is no longer needed",,
19,,Y,Data management,,R,,Local Data Correspondent(s) (LDC),,Role in the Data Governance of the EC - one in each DG,,,,
20,,Y,Data management,,R,,Statistical Correspondents,,List of Local Statistical Correspondents,https://myintracomm-collab.ec.europa.eu/networks/STATCOOR/Useful%20documents/List%20of%20statistical%20correspondents.docx,,,
21,YY,YY,Data management,II - Preparing your data for publication,S,Y,European Commission Data Advisory,European Commission Data Advisory: corporate advisory service for data management and analytics,"A corporate advisory service for data management and analytics, supporting the implementation of initiatives across the European Commission",https://webgate.ec.europa.eu/fpfis/wikis/display/DataAdvisory/Data+advisory,REC- Decide on the scope of your open data,,
22,,Y,Data management,,S,,MIDAS,,Modeling Inventory and Knowledge Management System,https://web.jrc.ec.europa.eu/policy-model-inventory/#dashboard,EC corporate,,
23,,M,Data management,,S,,EC Data Inventory,,"First step toward creating a Data Catalogue, the infrastructure supporting the reuse of European Commission data assets. It contains a list of data assets produced by EC different DGs. The links points to a ",https://qlik.jrc.cec.eu.int/ecas/sense/app/c266b931-c03e-4770-b774-eacf070a6565/sheet/750aa2c3-e802-4542-8e67-23959c621d49/state/analysis ,,,
24,YYTBC,YY,Data management,II - Publishing the data and the data visualisations with your publication,S,Y,European Commission Data Catalogue - interim solution,European Commission Data Catalogue: interim solution to centralise corporate data inventories,"This  data catalogue is an interim solution to centralise Commission data inventory and Inventory of the statistics product in one place, where Local and Statistical Data Correspondents can update their data assets respectively",https://ec-data.net1.cec.eu.int/,"REC- License your data so that others can reuse it?
TBD after revisiting the Copyright
","For the link to work, copy and paste it in your browser; otherwise you receive an error message. ",
